KU	d8:84:66:71:27:19	-66
eduroam	d8:84:66:10:3e:31	-62
KU	d8:84:66:10:3e:30	-63
GUEST	d8:84:66:11:4a:18	-86
KU	d8:84:66:13:6d:69	-58
GUEST	d8:84:66:5c:76:78	-56
GUEST	d8:84:66:13:6d:68	-58
KU	d8:84:66:39:6c:19	-81
GUEST	d8:84:66:39:6c:18	-81
KU	d8:84:66:11:42:d9	-72
GUEST	d8:84:66:11:42:d8	-72
GUEST	d8:84:66:13:6b:68	-78
GUEST	d8:84:66:11:48:78	-31
eduroam	d8:84:66:13:6d:61	-64
KU	d8:84:66:13:6d:60	-61
eduroam	d8:84:66:5c:76:71	-67
KU	d8:84:66:5c:76:70	-68
